lambda,x,rho,type,x0,x1
0.1,-2.5,5.5807168e-9,free,,
0.1,-0.6981982,0.0000023317384,free,,
0.1,-0.6881882,0.27314654,free,,
0.1,-0.6831832,0.35777324,free,,
0.1,-0.6781782,0.42162922,free,,
0.1,-0.6731732,0.47346717,free,,
0.1,-0.6631632,0.55477697,free,,
0.1,-0.6531532,0.6168275,free,,
0.1,-0.6481481,0.6427939,free,,
0.1,-0.6381381,0.6870945,free,,
0.1,-0.6231231,0.7390751,free,,
0.1,-0.6081081,0.77846265,free,,
0.1,-0.5930931,0.8086563,free,,
0.1,-0.5830831,0.82480663,free,,
0.1,-0.5730731,0.838351,free,,
0.1,-0.5630631,0.8496731,free,,
0.1,-0.5530531,0.85908496,free,,
0.1,-0.543043,0.8668442,free,,
0.1,-0.528028,0.8758439,free,,
0.1,-0.513013,0.8821873,free,,
0.1,-0.497998,0.8863357,free,,
0.1,-0.482983,0.8886563,free,,
0.1,-0.46796796,0.8894456,free,,
0.1,-0.44794795,0.8885271,free,,
0.1,-0.42792794,0.8857689,free,,
0.1,-0.4079079,0.88152874,free,,
0.1,-0.3828829,0.87456965,free,,
0.1,-0.35785785,0.8661628,free,,
0.1,-0.32782784,0.85462064,free,,
0.1,-0.2927928,0.8396786,free,,
0.1,-0.25775775,0.8236124,free,,
0.1,-0.17267267,0.781882,free,,
0.1,0.04754755,0.66936594,free,,
0.1,0.17267267,0.60655206,free,,
0.1,0.6281281,0.3838049,free,,
0.1,0.7282282,0.33235353,free,,
0.1,0.8083083,0.28858903,free,,
0.1,0.8783784,0.2470225,free,,
0.1,0.9334334,0.21080823,free,,
0.1,0.9584585,0.19275312,free,,
0.1,0.9834835,0.17325507,free,,
0.1,1.0035036,0.15624715,free,,
0.1,1.0235236,0.13747735,free,,
0.1,1.0385386,0.1217523,free,,
0.1,1.0535536,0.103905596,free,,
0.1,1.0635636,0.09021325,free,,
0.1,1.0735736,0.074173525,free,,
0.1,1.0835836,0.053721294,free,,
0.1,1.0885886,0.039823417,free,,
0.1,1.0935936,0.0170584,free,,
0.1,1.0985986,3.9245435e-7,free,,
0.1,2.5,5.717407e-9,free,,
0.1,-0.8333333,0.0,emp,-0.8333333,-0.76086956
0.1,-0.76086956,0.024495,emp,-0.76086956,-0.6884058
0.1,-0.6884058,0.59133,emp,-0.6884058,-0.615942
0.1,-0.615942,0.820065,emp,-0.615942,-0.54347825
0.1,-0.54347825,0.878715,emp,-0.54347825,-0.4710145
0.1,-0.4710145,0.88665,emp,-0.4710145,-0.39855072
0.1,-0.39855072,0.869055,emp,-0.39855072,-0.32608697
0.1,-0.32608697,0.8418,emp,-0.32608697,-0.2536232
0.1,-0.2536232,0.80178,emp,-0.2536232,-0.18115942
0.1,-0.18115942,0.763485,emp,-0.18115942,-0.10869565
0.1,-0.10869565,0.73071,emp,-0.10869565,-0.036231883
0.1,-0.036231883,0.69483,emp,-0.036231883,0.036231883
0.1,0.036231883,0.64998,emp,0.036231883,0.10869565
0.1,0.10869565,0.62514,emp,0.10869565,0.18115942
0.1,0.18115942,0.58512,emp,0.18115942,0.2536232
0.1,0.2536232,0.54924,emp,0.2536232,0.32608697
0.1,0.32608697,0.507495,emp,0.32608697,0.39855072
0.1,0.39855072,0.48783,emp,0.39855072,0.4710145
0.1,0.4710145,0.44367,emp,0.4710145,0.54347825
0.1,0.54347825,0.40158,emp,0.54347825,0.615942
0.1,0.615942,0.37398,emp,0.615942,0.6884058
0.1,0.6884058,0.334305,emp,0.6884058,0.76086956
0.1,0.76086956,0.299115,emp,0.76086956,0.8333333
0.1,0.8333333,0.24288,emp,0.8333333,0.9057971
0.1,0.9057971,0.208035,emp,0.9057971,0.9782609
0.1,0.9782609,0.145245,emp,0.9782609,1.0507246
0.1,1.0507246,0.04347,emp,1.0507246,1.1231884
0.1,1.1231884,0.0,emp,1.1231884,1.1956521
0.1,1.268116,0.0,emp,,
0.1,-0.8333333,0.0,empMin,-0.8333333,-0.76086956
0.1,-0.76086956,0.02277,empMin,-0.76086956,-0.6884058
0.1,-0.6884058,0.01173,empMin,-0.6884058,-0.615942
0.1,-0.615942,0.0,empMin,-0.615942,-0.54347825
0.1,-0.4710145,0.0,empMin,,
0.1,0.9057971,0.0,empMax,0.9057971,0.9782609
0.1,0.9782609,0.00345,empMax,0.9782609,1.0507246
0.1,1.0507246,0.03105,empMax,1.0507246,1.1231884
0.1,1.1231884,0.0,empMax,1.1231884,1.1956521
0.1,1.268116,0.0,empMax,,
0.30000000000000004,-2.5,5.5812395e-9,free,,
0.30000000000000004,-0.6981982,0.000002730116,free,,
0.30000000000000004,-0.6931932,0.16262528,free,,
0.30000000000000004,-0.6881882,0.28409952,free,,
0.30000000000000004,-0.6831832,0.36343324,free,,
0.30000000000000004,-0.6781782,0.42479315,free,,
0.30000000000000004,-0.6731732,0.47523025,free,,
0.30000000000000004,-0.6631632,0.5551235,free,,
0.30000000000000004,-0.6531532,0.6165421,free,,
0.30000000000000004,-0.6481481,0.64232826,free,,
0.30000000000000004,-0.6381381,0.6864117,free,,
0.30000000000000004,-0.6231231,0.7382556,free,,
0.30000000000000004,-0.6081081,0.77760845,free,,
0.30000000000000004,-0.5930931,0.80781066,free,,
0.30000000000000004,-0.5830831,0.823978,free,,
0.30000000000000004,-0.5730731,0.8375437,free,,
0.30000000000000004,-0.5630631,0.84888935,free,,
0.30000000000000004,-0.5530531,0.8583257,free,,
0.30000000000000004,-0.543043,0.86610943,free,,
0.30000000000000004,-0.528028,0.8751451,free,,
0.30000000000000004,-0.513013,0.8815226,free,,
0.30000000000000004,-0.497998,0.8857028,free,,
0.30000000000000004,-0.482983,0.888053,free,,
0.30000000000000004,-0.46796796,0.88886964,free,,
